taxon_id	species	genus	scientist_family	inat_family	global_count	v3_role	v3_accepted	exact_label_accepted	metadata_mismatch_count	family_smoothed_yield	estimated_exact_accepted	planned_accepted_target	v4_role	selection_reason
49493	Thalassoma lucasanum	Thalassoma	Labridae	Labridae	804	eligible_not_selected			0	0.301386	242	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
113981	Thalassoma lutescens	Thalassoma	Labridae	Labridae	392	eligible_not_selected			0	0.301386	118	200	primary_train	unselected_v3_candidate_projected_to_reach_minimum
113985	Thalassoma purpureum	Thalassoma	Labridae	Labridae	262	eligible_not_selected			0	0.301386	79	0	excluded_low_supply	unlikely_to_reach_100_after_current_gates
113987	Thalassoma rueppellii	Thalassoma	Labridae	Labridae	273	eligible_not_selected			0	0.301386	82	200	reserve_backfill	near_minimum_or_projection_uncertain
117459	Monotaxis grandoculis	Monotaxis	Lethrinidae	Lethrinidae	383	broad_pretraining	177	177	0	0.363699	139	200	primary_train	v3_exact_label_count_meets_minimum
68030	Lutjanus bohar	Lutjanus	Lutjanidae	Lutjanidae	290	common_target_pretraining	104	104	0	0.32517	94	200	primary_train	v3_exact_label_count_meets_minimum
81989	Lutjanus apodus	Lutjanus	Lutjanidae	Lutjanidae	803	broad_pretraining	200	200	0	0.32517	261	200	primary_train	v3_exact_label_count_meets_minimum
49509	Lutjanus griseus	Lutjanus	Lutjanidae	Lutjanidae	586	broad_pretraining	187	187	0	0.32517	191	200	primary_train	v3_exact_label_count_meets_minimum
47292	Ocyurus chrysurus	Ocyurus	Lutjanidae	Lutjanidae	406	broad_pretraining	169	169	0	0.32517	132	200	primary_train	v3_exact_label_count_meets_minimum
49601	Mola mola	Mola	Molidae	Molidae	252	broad_pretraining	24	24	0	0.223598	56	0	excluded_low_supply	unlikely_to_reach_100_after_current_gates
49498	Aluterus scriptus	Aluterus	Monacanthidae	Monacanthidae	459	broad_pretraining	130	130	0	0.285867	131	200	primary_train	v3_exact_label_count_meets_minimum
106222	Mugil cephalus	Mugil	Mugilidae	Mugilidae	577	broad_pretraining	152	152	0	0.274973	159	200	primary_train	v3_exact_label_count_meets_minimum
123346	Mulloidichthys flavolineatus	Mulloidichthys	Mullidae	Mullidae	553	common_target_pretraining	102	102	0	0.249479	138	200	primary_train	v3_exact_label_count_meets_minimum
122682	Mulloidichthys vanicolensis	Mulloidichthys	Mullidae	Mullidae	251	common_target_pretraining	36	36	0	0.249479	63	0	excluded_low_supply	unlikely_to_reach_100_after_current_gates
196838	Parupeneus barberinus	Parupeneus	Mullidae	Mullidae	262	common_target_pretraining	92	92	0	0.249479	65	200	reserve_backfill	near_minimum_or_projection_uncertain
131234	Parupeneus multifasciatus	Parupeneus	Mullidae	Mullidae	420	common_target_pretraining	159	159	0	0.249479	105	200	primary_train	v3_exact_label_count_meets_minimum
187709	Mulloidichthys dentatus	Mulloidichthys	Mullidae	Mullidae	254	broad_pretraining	23	23	0	0.249479	63	0	excluded_low_supply	unlikely_to_reach_100_after_current_gates
128172	Mulloidichthys martinicus	Mulloidichthys	Mullidae	Mullidae	425	broad_pretraining	63	63	0	0.249479	106	200	reserve_backfill	near_minimum_or_projection_uncertain
118619	Mullus surmuletus	Mullus	Mullidae	Mullidae	414	broad_pretraining	149	149	0	0.249479	103	200	primary_train	v3_exact_label_count_meets_minimum
121000	Gymnothorax javanicus	Gymnothorax	Muraenidae	Muraenidae	443	common_target_pretraining	89	89	0	0.228981	101	200	reserve_backfill	near_minimum_or_projection_uncertain
54441	Echidna nebulosa	Echidna	Muraenidae	Muraenidae	400	broad_pretraining	79	79	0	0.228981	92	200	reserve_backfill	near_minimum_or_projection_uncertain
128105	Gymnothorax moringa	Gymnothorax	Muraenidae	Muraenidae	341	broad_pretraining	73	73	0	0.228981	78	200	reserve_backfill	near_minimum_or_projection_uncertain
1556594	Myliobatis tenuicaudata	Myliobatis	Myliobatidae	Myliobatidae	393	broad_pretraining	94	94	0	0.266681	105	200	reserve_backfill	near_minimum_or_projection_uncertain
471636	Scolopsis bilineata	Scolopsis	Nemipteridae	Nemipteridae	491	broad_pretraining	200	200	0	0.402396	198	200	primary_train	v3_exact_label_count_meets_minimum
135220	Scolopsis margaritifera	Scolopsis	Nemipteridae	Nemipteridae	251	broad_pretraining	117	117	0	0.402396	101	200	primary_train	v3_exact_label_count_meets_minimum
577603	Lactophrys triqueter	Lactophrys	Ostraciidae	Ostraciidae	468	broad_pretraining	200	200	0	0.431639	202	200	primary_train	v3_exact_label_count_meets_minimum
